回報者名稱,時間,怪物 ID,怪物名稱,基本數值異動,移除掉落物,新增掉落物,移除地圖,新增地圖,地圖座標,是否修正,處理狀態
,2026/5/7 上午 4:34:12,1253,蝙蝠弓箭手,,,獵人之弓(700096),,,,TRUE,成功於 2026-05-07 08:06 處理
兩天,2026/5/7 下午 11:38:48,1253,蝙蝠弓箭手,,,(服飾)眼淚(歸屬)(410530),,,,TRUE,成功於 2026-05-08 14:24 處理
,2026/5/8 上午 12:12:08,3966,異界的泥人,,,"沙漠皮鎧甲(15251), 沙漠皮外袍(15252), 沙漠皮襯衫(15253), 沙漠皮長靴(22175), 沙漠皮便鞋(22176), 沙漠皮短靴(22177)",,,,TRUE,成功於 2026-05-08 14:24 處理
兩天,2026/5/11 上午 11:26:24,20176,伊莉莎白,,,兔子花紋襯衫(15282),,,,TRUE,成功於 2026-05-18 08:11 處理
,2026/5/11 下午 9:20:24,1013,狼,,,火靈礦石(990),,,,TRUE,成功於 2026-05-18 08:11 處理
K,2026/5/17 上午 4:51:46,1103,刺蝟蟲,"經驗值: 634 -> 348
職業經驗值: 150 -> 69",,,,,,TRUE,成功於 2026-05-18 08:11 處理
K,2026/5/17 上午 4:56:01,1018,克瑞米,"經驗值: 538 -> 269
職業經驗值: 132 -> 53",,,,,,TRUE,成功於 2026-05-18 08:11 處理
K,2026/5/17 上午 5:40:16,1034,達拉蛙,"經驗值: 1,200 -> 1,170
職業經驗值: 326 -> 234",,,,,,TRUE,成功於 2026-05-18 08:11 處理
K,2026/5/17 上午 5:53:20,1118,噬人花,"職業經驗值: 961 -> 1,040",,,,,,TRUE,成功於 2026-05-18 08:11 處理
Otomos-024,2026/5/19 上午 8:03:13,1056,狸貓,職業經驗值: ??? -> 83,,,,,,TRUE,成功於 2026-05-20 19:23 處理
PENG,2026/5/19 下午 4:05:55,1400,傘妖,,,(服飾)雨傘帽(歸屬)(401370),,,,TRUE,成功於 2026-05-20 19:23 處理
PENG,2026/5/19 下午 4:06:22,1404,米雅畢,,,(服飾)米雅畢的長髮(歸屬)(420833),,,,TRUE,成功於 2026-05-20 19:23 處理
PENG,2026/5/19 下午 4:06:40,1402,牛蛙,,,(服飾)青蛙帽(歸屬)(401371),,,,TRUE,成功於 2026-05-20 19:23 處理
PENG,2026/5/19 下午 4:07:51,1401,火忍西怒畢,,,(服飾)無名之兜(歸屬)(401369),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:02:51,1406,釣魚河童,,,颶風纏繞的寶箱(1002970),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:03:11,1400,傘妖,,,颶風纏繞的水(1002969),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:04:33,1405,天狗,,,颶風纏繞的血(1002971),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:05:22,1584,塔嚕安,,,颶風纏繞的酒瓶(1002964),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:06:08,1587,克萊本,,,颶風纏繞的心臟(1002963),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:06:25,1516,米糕,,,颶風纏繞的石頭(1002968),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:06:40,1586,群葉貓,,,颶風纏繞的氣息(1002965),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:07:07,1416,妖仙女,,,颶風纏繞的殼(1002962),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:07:22,1412,惡雲仙人,,,颶風纏繞的核(1002960),,,,TRUE,成功於 2026-05-20 19:23 處理
兩天,2026/5/20 下午 4:07:48,1415,小花豹,,,颶風纏繞的肉(1002961),,,,TRUE,成功於 2026-05-20 19:23 處理
PENG,2026/5/20 下午 10:34:44,1401,火忍西怒畢,,(服飾)無名之兜(歸屬)(401369),,,,,TRUE,成功於 2026-05-21 01:27 處理
PENG,2026/5/20 下午 10:35:19,1401,火忍西怒畢,,,(服飾)狐狸面具(歸屬)(410635),,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:11:34,1150,月夜貓,"血量: ??? -> 72,000,000
經驗值: 67,000,000 -> 4,800,000",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:11:50,1511,古埃及王,"血量: 34,810,500 -> 68,810,500",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:12:06,1159,皮里恩,"血量: 35,796,617 -> 65,796,617",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:12:32,1112,海盜之王,"血量: ??? -> 78,525,000",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:12:49,1115,虎王,"血量: ??? -> 79,568,740",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:13:18,1312,烏龜將軍,"血量: 1,442,000 -> 158,052,800",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:13:53,1190,獸人酋長,"血量: ??? -> 78,757,000",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:14:13,1086,黃金蟲,"血量: ??? -> 68,275,850",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:14:37,1087,獸人英雄,"血量: ??? -> 68,757,890
經驗值: 68,000,000 -> 5,574,520",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:14:50,1147,蟻后,"血量: ??? -> 35,851,640",,,,,,TRUE,成功於 2026-05-21 01:27 處理
,2026/5/20 下午 11:15:21,1150,月夜貓,"血量: ??? -> 68,975,825
經驗值: 67,000,000 -> 3,548,505",,,,,,TRUE,成功於 2026-05-21 01:27 處理
PENG,2026/5/23 上午 8:46:24,1406,釣魚河童,,颶風纏繞的寶箱(1002970),颶風纏繞的水(1002969),,,,TRUE,成功於 2026-05-25 09:28 處理
PENG,2026/5/23 上午 8:46:44,1400,傘妖,,颶風纏繞的水(1002969),颶風纏繞的寶箱(1002970),,,,TRUE,成功於 2026-05-25 09:28 處理
,2026/5/23 下午 8:14:10,1404,米雅畢,,,被禁止的魔書(28628),,,,TRUE,成功於 2026-05-25 09:28 處理
,2026/5/25 上午 12:31:12,1404,米雅畢,,,"曼陀林(570054), 被禁止的魔書(28628)",,,,TRUE,成功於 2026-05-25 09:29 處理
白白貓,2026/5/27 上午 4:40:27,1268,血腥騎士,,,"石頭(7049), 微微發光的結晶體(25424)",,,,TRUE,成功於 2026-05-29 12:48 處理
,2026/5/28 上午 9:33:16,1148,米杜沙,,,尖刃鐵錘(590070),,,,TRUE,成功於 2026-05-29 12:48 處理
兩天,2026/5/29 下午 2:09:34,1400,傘妖,,颶風纏繞的水(1002969),,,,,TRUE,成功於 2026-06-02 19:21 處理
兩天,2026/5/29 下午 2:09:46,1406,釣魚河童,,颶風纏繞的寶箱(1002970),,,,,TRUE,成功於 2026-06-02 19:21 處理
兩天,2026/5/29 下午 3:14:03,2704,迅捷牛蛙,,,(服飾)青蛙帽(19548),,,,TRUE,成功於 2026-06-02 19:21 處理
,2026/6/2 下午 3:14:13,1492,元靈武士,,,花結情書(25629),,,,TRUE,成功於 2026-06-02 19:22 處理
,2026/6/8 上午 1:36:33,1268,血腥騎士,,,血腥騎士卡片(27275),,,,TRUE,成功於 2026-06-11 14:25 處理
dio,2026/6/8 下午 4:21:48,1208,邪骸浪人,"血量: 31,732 -> 111,732",,,,,,TRUE,成功於 2026-06-11 14:25 處理
,2026/6/13 上午 5:55:05,1511,古埃及王,,,火靈之矛(1471),,,,TRUE,成功於 2026-06-15 21:39 處理
,2026/6/14 下午 11:12:07,1268,血腥騎士,,血腥騎士卡片(27275),,,,,TRUE,成功於 2026-06-15 21:39 處理
dio,2026/6/15 下午 4:43:40,1163,幽靈劍士,"血量: 28,900 -> 128,900",,,,,,TRUE,成功於 2026-06-15 21:39 處理
,2026/6/15 下午 10:49:15,1274,邪惡摩艾,,,笨拙短劍(510129),,,,TRUE,成功於 2026-06-16 02:17 處理
dio,2026/6/16 上午 10:41:36,1132,卡利斯格,"血量: 33,320 -> 133,320",,,,,,TRUE,成功於 2026-06-18 09:40 處理
dio,2026/6/16 上午 10:41:47,1275,愛麗絲女僕,"血量: 9,230 -> 19,230",,,,,,TRUE,成功於 2026-06-18 09:40 處理
dio,2026/6/16 上午 10:41:57,1219,深淵騎士,"血量: 85,457 -> 185,457",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 上午 2:00:56,1147,蟻后,,,秘錘冷月(1527),,,,TRUE,成功於 2026-06-18 09:40 處理
dio,2026/6/17 上午 11:36:50,1276,幽靈弓箭手,"血量: 19,716 -> 119,716",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:12:17,1061,夢魘,"經驗值: 38,627 -> 47,385
職業經驗值: 7,726 -> 9,477",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:14:14,1015,腐屍,"經驗值: 378 -> 283
職業經驗值: 73 -> 55",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:15:35,1036,綠腐屍,"經驗值: 19,556 -> 26,667
職業經驗值: 3,911 -> 5,332",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:17:08,1130,南瓜先生,"經驗值: 19,761 -> 26,946
職業經驗值: 3,952 -> 5,388",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:18:40,1111,紅蝙蝠,"經驗值: 1,738 -> 2,499
職業經驗值: 487 -> 499",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:44:41,1160,工蟻,"經驗值: 996 -> 879
職業經驗值: 248 -> 175",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:45:27,1176,黑蟻,"經驗值: 359 -> 537
職業經驗值: 72 -> 106",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:45:51,1105,兵蟻,"經驗值: 539 -> 807
職業經驗值: 108 -> 160",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:48:51,1097,白蟻幼蟲,"經驗值: 464 -> 694
職業經驗值: 93 -> 138",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 10:51:43,1005,吸血蝙蝠,"經驗值: 241 -> 360
職業經驗值: 49 -> 72",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/17 下午 11:01:37,1165,泥人,"經驗值: 7,159 -> 10,738
職業經驗值: 1,431 -> 2,146",,,,,,TRUE,成功於 2026-06-18 09:40 處理
,2026/6/19 下午 7:55:57,1587,克萊本,100%命中: 307 -> 325,牛奶(519),,,,,TRUE,成功於 2026-06-22 19:20 處理
,2026/6/20 下午 12:17:13,2910,狡猾鐘怪,"血量: 27,810 -> 278,100",,,,,,TRUE,成功於 2026-06-22 19:20 處理
,2026/6/20 下午 10:34:38,1315,風靈龜,,卡塔勒拳刃(610082),拳刃(610066),,,,TRUE,成功於 2026-06-22 19:20 處理
,2026/6/22 下午 11:09:13,1402,牛蛙,,(服飾)青蛙帽(歸屬)(401371),魔靈石(25628),,,,FALSE,
兩天,2026/6/24 下午 11:43:20,3968,異界的皮里恩,,,迷思力(25430),,,,FALSE,
兩天,2026/6/24 下午 11:43:37,3968,異界的皮里恩,,,沙漠皮短靴(22177),,,,FALSE,
兩天,2026/6/24 下午 11:43:47,3968,異界的皮里恩,,,沙漠皮鎧甲(15251),,,,FALSE,
兩天,2026/6/24 下午 11:44:02,3968,異界的皮里恩,,,沙晶手杖(26122),,,,FALSE,
